iter	Passed	Remaining
0	20	20014
1	44	22365
2	71	23652
3	95	23679
4	110	21954
5	123	20529
6	132	18799
7	139	17327
8	166	18338
9	186	18508
10	214	19245
11	229	18918
12	246	18678
13	256	18041
14	269	17686
15	284	17488
16	300	17398
17	316	17272
18	327	16902
19	343	16853
20	361	16858
21	381	16981
22	395	16814
23	410	16705
24	432	16866
25	444	16668
26	456	16438
27	471	16358
28	487	16323
29	503	16274
30	514	16096
31	533	16126
32	549	16091
33	564	16036
34	570	15736
35	580	15534
36	598	15565
37	613	15532
38	639	15767
39	669	16068
40	697	16322
41	731	16687
42	756	16846
43	778	16907
44	811	17220
45	829	17208
46	869	17625
47	900	17852
48	920	17867
49	944	17939
50	960	17878
51	973	17748
52	1000	17878
53	1026	17980
54	1069	18367
55	1100	18555
56	1124	18603
57	1134	18433
58	1154	18417
59	1172	18372
60	1189	18314
61	1196	18099
62	1214	18063
63	1234	18050
64	1252	18017
65	1263	17885
66	1269	17684
67	1289	17669
68	1308	17650
69	1328	17643
70	1345	17599
71	1354	17458
72	1371	17421
73	1380	17269
74	1398	17250
75	1417	17236
76	1437	17226
77	1456	17216
78	1464	17070
79	1486	17090
80	1506	17093
81	1530	17134
82	1556	17191
83	1579	17228
84	1606	17292
85	1627	17299
86	1647	17287
87	1665	17258
88	1684	17245
89	1703	17221
90	1712	17110
91	1727	17045
92	1740	16975
93	1748	16851
94	1768	16849
95	1786	16822
96	1826	16999
97	1858	17104
98	1872	17038
99	1901	17116
100	1923	17117
101	1946	17138
102	1970	17161
103	1995	17194
104	2018	17201
105	2031	17136
106	2059	17185
107	2077	17157
108	2094	17122
109	2105	17037
110	2128	17049
111	2148	17036
112	2167	17010
113	2186	16995
114	2200	16935
115	2219	16913
116	2238	16892
117	2257	16872
118	2270	16805
119	2292	16811
120	2313	16809
121	2338	16825
122	2354	16788
123	2374	16773
124	2396	16777
125	2412	16731
126	2429	16699
127	2448	16679
128	2467	16658
129	2487	16644
130	2505	16620
131	2523	16592
132	2539	16557
133	2553	16501
134	2571	16473
135	2577	16374
136	2594	16342
137	2612	16319
138	2631	16299
139	2650	16284
140	2665	16241
141	2677	16180
142	2690	16123
143	2707	16092
144	2719	16035
145	2740	16031
146	2757	15999
147	2776	15982
148	2796	15969
149	2808	15912
150	2827	15898
151	2848	15893
152	2860	15835
153	2879	15817
154	2902	15825
155	2921	15805
156	2949	15838
157	2976	15862
158	3011	15929
159	3015	15832
160	3051	15900
161	3069	15877
162	3111	15975
163	3140	16010
164	3162	16006
165	3192	16037
166	3220	16063
167	3252	16108
168	3271	16086
169	3288	16057
170	3303	16016
171	3325	16006
172	3344	15987
173	3370	15999
174	3389	15978
175	3406	15947
176	3418	15895
177	3436	15870
178	3456	15854
179	3478	15846
180	3498	15829
181	3509	15774
182	3529	15757
183	3547	15733
184	3555	15664
185	3574	15644
186	3586	15594
187	3596	15534
188	3614	15507
189	3631	15481
190	3650	15462
191	3672	15455
192	3690	15432
193	3700	15373
194	3712	15326
195	3727	15288
196	3743	15257
197	3749	15187
198	3762	15145
199	3779	15118
200	3796	15090
201	3818	15085
202	3834	15053
203	3859	15059
204	3884	15063
205	3905	15053
206	3927	15047
207	3948	15033
